feedbacks,topics
IT IS TRASH !,
2nd Best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into,patches
With in weeks of purchasing my computer is began to slow down .,
also the battery is completely shot .,battery
"I am not sure if it was the drive itself , however ;",drive
"It 's applications are terrific , including the replacements for Microsoft office .","applications, Microsoft office"
"But , for the cost this is a winner .",cost
One drawback I noticed was sound quality via USB .,sound quality via USB
Had to have this computer repaired twice in the first 5 months after purchasing it .,
It seemed to be a very nice laptop except I was not able to load my Garmin GPS software or Microsoft Office 2003 .,"Garmin GPS software, Microsoft Office 2003"
"It is absolutely horrible to use , despite all its so called advanced features .","use, features"
The graphics are great .,graphics
They claim that I should be happy because I am getting a new laptop to replace my two- month old laptop .,
My first laptop was an Acer that I got for Christmas .,
i love the size of the computer since i play games on it .,"size, games"
I worked in IT retail sales before .,
I had to pay $ 100 for a universal charger for this cheap $ 300 laptop .,universal charger
And Toshiba is totally unconcerned .,
"The tech guy then said the service center does not do 1 - to - 1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .","tech guy, service center, `` sales '' team"
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states .,customer service agents
"The fact that the screen reacts to the lighting around you is an added luxury - when you are working around others in dark areas and want privacy or do n't want to bother them with bright lighting , it is very convenient to have a darker , softer lit screen .","screen, screen"
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV .,"Intel Core processors, HDMI port"
it is very easy for anyone to use an apple and specially the mcbook pro notebook .,use
We paid for the three year warranty and the extended warranty after that one ended as well .,"three year warranty, extended warranty"
"Who could n't love a DVD burner , 80 - gigabyte HD , and fairly new graphics chip ? As I soon discovered , though , there is a reason for which similarly - configured Sony and Toshiba machines cost more : they use higher - quality components that are faster , better - configured , and end up lasting a lot longer .","DVD burner, HD, graphics chip, components"
But I was wrong .,
This unit is not .,
"This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years , I find not much difference except of course for the screen size .",screen size
"Also , the space bar makes a noisy click every time you use it .",space bar
